pc_code,pc_description,unit,country_code,country_name,quantity,value,Year
99,Other Commodities,Na,599,Unspecified,NA,6925.755648,2014
99,Other Commodities,Na,1213,Kenya,NA,4.977579,2014
99,Other Commodities,Na,1395,Tanzania Rep,NA,3.859614,2014
99,Other Commodities,Na,1417,Uganda,NA,0.006412,2014
99,Other Commodities,Na,2035,Benin,NA,1.030157,2014
99,Other Commodities,Na,2057,Cameroon,NA,3.337303,2014
99,Other Commodities,Na,2067,C Afri Rep,NA,0.000002,2014
99,Other Commodities,Na,2069,Chad,NA,2.059361,2014
99,Other Commodities,Na,2087,Congo P Rep,NA,2.304299,2014
99,Other Commodities,Na,2141,Gabon,NA,0.27285,2014
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,1.904218,2014
99,Other Commodities,Na,2241,Madagascar,NA,9.407807,2014
99,Other Commodities,Na,2255,Mauritania,NA,1.712627,2014
99,Other Commodities,Na,2257,Mauritius,NA,0.191706,2014
99,Other Commodities,Na,2289,Niger,NA,0.000024,2014
99,Other Commodities,Na,2353,Senegal,NA,1.256405,2014
99,Other Commodities,Na,2399,Togo,NA,0.636765,2014
99,Other Commodities,Na,2459,Congo D. Rep.,NA,6.366233,2014
99,Other Commodities,Na,3011,Angola,NA,3.891963,2014
99,Other Commodities,Na,3041,Botswana,NA,0.000008,2014
99,Other Commodities,Na,3053,Burundi,NA,0.027466,2014
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.197719,2014
99,Other Commodities,Na,3085,Comoros,NA,0.026837,2014
99,Other Commodities,Na,3102,Djibouti,NA,0.128169,2014
99,Other Commodities,Na,3115,Ethiopia,NA,0.788205,2014
99,Other Commodities,Na,3116,Eritrea,NA,0.064225,2014
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.066511,2014
99,Other Commodities,Na,3143,Gambia,NA,1.079585,2014
99,Other Commodities,Na,3149,Ghana,NA,2.148768,2014
99,Other Commodities,Na,3167,Guinea,NA,0.751904,2014
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.102432,2014
99,Other Commodities,Na,3227,Lesotho,NA,0.058545,2014
99,Other Commodities,Na,3229,Liberia,NA,1.207047,2014
99,Other Commodities,Na,3243,Malawi,NA,0.000602,2014
99,Other Commodities,Na,3249,Mali,NA,0.158826,2014
99,Other Commodities,Na,3267,Mozambique,NA,0.151082,2014
99,Other Commodities,Na,3269,Namibia,NA,0.479743,2014
99,Other Commodities,Na,3291,Nigeria,NA,5.529206,2014
99,Other Commodities,Na,3339,Reunion,NA,0.138259,2014
99,Other Commodities,Na,3355,Seychelles,NA,0.025833,2014
99,Other Commodities,Na,3357,Sierra Leone,NA,0.783904,2014
99,Other Commodities,Na,3363,Somalia,NA,0.010957,2014
99,Other Commodities,Na,3385,Swaziland,NA,1.600694,2014
99,Other Commodities,Na,3461,Zambia,NA,0.006468,2014
99,Other Commodities,Na,4111,Egypt A Rp,NA,5.426078,2014
99,Other Commodities,Na,4231,Libya,NA,3.192425,2014
99,Other Commodities,Na,4265,Morocco,NA,1.568291,2014
99,Other Commodities,Na,4365,South Africa,NA,26.037674,2014
99,Other Commodities,Na,4381,Sudan,NA,17.368376,2014
99,Other Commodities,Na,4407,Tunisia,NA,1.069469,2014
99,Other Commodities,Na,4463,Zimbabwe,NA,1.975858,2014
99,Other Commodities,Na,5059,Canada,NA,21.630393,2014
99,Other Commodities,Na,5157,Greenland,NA,0.001502,2014
99,Other Commodities,Na,5423,U S A,NA,494.24548,2014
99,Other Commodities,Na,5424,Us Minor Outlying Islands,NA,0.002373,2014
99,Other Commodities,Na,6015,Argentina,NA,7.151347,2014
99,Other Commodities,Na,6043,Brazil,NA,47.316195,2014
99,Other Commodities,Na,6073,Chile,NA,0.527606,2014
99,Other Commodities,Na,6083,Colombia,NA,0.005387,2014
99,Other Commodities,Na,6109,Ecuador,NA,0.208753,2014
99,Other Commodities,Na,6317,Paraguay,NA,0.303191,2014
99,Other Commodities,Na,6319,Peru,NA,1.720657,2014
99,Other Commodities,Na,6427,Uruguay,NA,0.663052,2014
99,Other Commodities,Na,6433,Venezuela,NA,0.043146,2014
99,Other Commodities,Na,7012,Anguilla,NA,0.00009,2014
99,Other Commodities,Na,7031,Belize,NA,0.012053,2014
99,Other Commodities,Na,7203,Jamaica,NA,0.302839,2014
99,Other Commodities,Na,7373,St Kitt N A,NA,0.000351,2014
99,Other Commodities,Na,7375,St Lucia,NA,0.002427,2014
99,Other Commodities,Na,7405,Trinidad,NA,0.183455,2014
99,Other Commodities,Na,8091,Costa Rica,NA,0.000626,2014
99,Other Commodities,Na,8113,El Salvador,NA,0.159927,2014
99,Other Commodities,Na,8165,Guatemala,NA,0.15767,2014
99,Other Commodities,Na,8177,Honduras,NA,0.071224,2014
99,Other Commodities,Na,8287,Nicaragua,NA,0.930865,2014
99,Other Commodities,Na,9007,Ameri Samoa,NA,0.00002,2014
99,Other Commodities,Na,9103,Dominic Rep,NA,0.063397,2014
99,Other Commodities,Na,9175,Haiti,NA,0.051471,2014
99,Other Commodities,Na,9259,Mexico,NA,3.486606,2014
99,Other Commodities,Na,9277,Netherlandantil,NA,0.335845,2014
99,Other Commodities,Na,9311,Panama Republic,NA,0.005377,2014
99,Other Commodities,Na,9331,Puerto Rico,NA,0.321452,2014
99,Other Commodities,Na,9383,Suriname,NA,149.803382,2014
99,Other Commodities,Na,9439,Virgin Is Us,NA,0.016255,2014
99,Other Commodities,Na,10001,Afghanistan,NA,4.151495,2014
99,Other Commodities,Na,10014,Antartica,NA,0.000011,2014
99,Other Commodities,Na,10017,Australia,NA,7.669063,2014
99,Other Commodities,Na,10027,Bangladesh Pr,NA,9.490126,2014
99,Other Commodities,Na,10038,Bhutan,NA,0.433524,2014
99,Other Commodities,Na,10047,Brunei,NA,0.000041,2014
99,Other Commodities,Na,10056,Cambodia,NA,0.034363,2014
99,Other Commodities,Na,10077,China P Rp,NA,760.168808,2014
99,Other Commodities,Na,10127,Fiji Is,NA,0.000837,2014
99,Other Commodities,Na,10179,Hong Kong,NA,82.5975,2014
99,Other Commodities,Na,10187,Indonesia,NA,57.645662,2014
99,Other Commodities,Na,10189,Iran,NA,16.025546,2014
99,Other Commodities,Na,10205,Japan,NA,58.0533,2014
99,Other Commodities,Na,10217,Korea Rp,NA,104.473869,2014
99,Other Commodities,Na,10223,Lao Pd Rp,NA,0.037618,2014
99,Other Commodities,Na,10245,Malaysia,NA,32.117518,2014
99,Other Commodities,Na,10258,Myanmar,NA,11.337588,2014
99,Other Commodities,Na,10261,Mongolia,NA,0.000837,2014
99,Other Commodities,Na,10273,Nepal,NA,23.57982,2014
99,Other Commodities,Na,10285,New Zealand,NA,5.318833,2014
99,Other Commodities,Na,10309,Pakistan Ir,NA,6.28223,2014
99,Other Commodities,Na,10315,Papua N Gna,NA,0.00249,2014
99,Other Commodities,Na,10323,Philippines,NA,9.462364,2014
99,Other Commodities,Na,10359,Singapore,NA,120.638854,2014
99,Other Commodities,Na,10369,Sri Lanka Dsr,NA,48.5726,2014
99,Other Commodities,Na,10397,Thailand,NA,102.624621,2014
99,Other Commodities,Na,10437,Vietnam Soc Rep,NA,46.566642,2014
99,Other Commodities,Na,10447,Samoa,NA,0.000015,2014
99,Other Commodities,Na,11025,Baharain Is,NA,2.918328,2014
99,Other Commodities,Na,11191,Iraq,NA,0.000776,2014
99,Other Commodities,Na,11207,Jordan,NA,0.132233,2014
99,Other Commodities,Na,11219,Kuwait,NA,7.025268,2014
99,Other Commodities,Na,11225,Lebanon,NA,0.011651,2014
99,Other Commodities,Na,11301,Oman,NA,12.853184,2014
99,Other Commodities,Na,11335,Qatar,NA,1.176284,2014
99,Other Commodities,Na,11351,Saudi Arab,NA,8.604149,2014
99,Other Commodities,Na,11419,U Arab Emts,NA,78.132695,2014
99,Other Commodities,Na,11453,Yemen Republc,NA,0.622669,2014
