pc_code,pc_description,unit,country_code,country_name,quantity,value,Year
99,Other Commodities,Na,599,Unspecified,NA,159.558366,2015
99,Other Commodities,Na,1213,Kenya,NA,16.088382,2015
99,Other Commodities,Na,1395,Tanzania Rep,NA,13.96587,2015
99,Other Commodities,Na,1417,Uganda,NA,9.371726,2015
99,Other Commodities,Na,2035,Benin,NA,1.564994,2015
99,Other Commodities,Na,2050,Burkina Faso,NA,0.465861,2015
99,Other Commodities,Na,2057,Cameroon,NA,0.46598,2015
99,Other Commodities,Na,2067,C Afri Rep,NA,0.173326,2015
99,Other Commodities,Na,2069,Chad,NA,0.141277,2015
99,Other Commodities,Na,2087,Congo P Rep,NA,1.564975,2015
99,Other Commodities,Na,2141,Gabon,NA,0.252075,2015
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,1.659592,2015
99,Other Commodities,Na,2241,Madagascar,NA,1.28042,2015
99,Other Commodities,Na,2255,Mauritania,NA,0.640754,2015
99,Other Commodities,Na,2257,Mauritius,NA,2.991896,2015
99,Other Commodities,Na,2289,Niger,NA,0.169576,2015
99,Other Commodities,Na,2345,Rwanda,NA,0.701755,2015
99,Other Commodities,Na,2353,Senegal,NA,1.39205,2015
99,Other Commodities,Na,2399,Togo,NA,16.12126,2015
99,Other Commodities,Na,2459,Congo D. Rep.,NA,1.599476,2015
99,Other Commodities,Na,3011,Angola,NA,1.417316,2015
99,Other Commodities,Na,3041,Botswana,NA,0.154993,2015
99,Other Commodities,Na,3053,Burundi,NA,0.914374,2015
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.103293,2015
99,Other Commodities,Na,3085,Comoros,NA,0.066765,2015
99,Other Commodities,Na,3102,Djibouti,NA,0.364686,2015
99,Other Commodities,Na,3115,Ethiopia,NA,4.442303,2015
99,Other Commodities,Na,3116,Eritrea,NA,0.151146,2015
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.284644,2015
99,Other Commodities,Na,3143,Gambia,NA,0.200921,2015
99,Other Commodities,Na,3149,Ghana,NA,4.541668,2015
99,Other Commodities,Na,3167,Guinea,NA,0.574668,2015
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.2836,2015
