pc_code,pc_description,unit,country_code,country_name,quantity,value,Year
99,Other Commodities,Na,599,Unspecified,NA,6994.362548,2016
99,Other Commodities,Na,1213,Kenya,NA,3.058141,2016
99,Other Commodities,Na,1395,Tanzania Rep,NA,7.582766,2016
99,Other Commodities,Na,1417,Uganda,NA,0.000057,2016
99,Other Commodities,Na,2035,Benin,NA,5.537281,2016
99,Other Commodities,Na,2057,Cameroon,NA,2.656753,2016
99,Other Commodities,Na,2067,C Afri Rep,NA,0.002264,2016
99,Other Commodities,Na,2069,Chad,NA,2.595296,2016
99,Other Commodities,Na,2087,Congo P Rep,NA,1.392387,2016
99,Other Commodities,Na,2141,Gabon,NA,0.431098,2016
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,3.140688,2016
99,Other Commodities,Na,2241,Madagascar,NA,14.753161,2016
99,Other Commodities,Na,2255,Mauritania,NA,1.951013,2016
99,Other Commodities,Na,2257,Mauritius,NA,0.921572,2016
99,Other Commodities,Na,2289,Niger,NA,0.000303,2016
99,Other Commodities,Na,2353,Senegal,NA,4.103061,2016
99,Other Commodities,Na,2399,Togo,NA,3.816957,2016
99,Other Commodities,Na,2459,Congo D. Rep.,NA,3.033555,2016
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.181719,2016
99,Other Commodities,Na,3085,Comoros,NA,0.085472,2016
99,Other Commodities,Na,3102,Djibouti,NA,0.178892,2016
99,Other Commodities,Na,3115,Ethiopia,NA,0.520232,2016
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.397377,2016
99,Other Commodities,Na,3143,Gambia,NA,1.309186,2016
99,Other Commodities,Na,3149,Ghana,NA,4.206529,2016
99,Other Commodities,Na,3167,Guinea,NA,3.452087,2016
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.119834,2016
99,Other Commodities,Na,3229,Liberia,NA,1.003406,2016
99,Other Commodities,Na,3243,Malawi,NA,0.000171,2016
99,Other Commodities,Na,3249,Mali,NA,4.931787,2016
99,Other Commodities,Na,3267,Mozambique,NA,1.864367,2016
99,Other Commodities,Na,3269,Namibia,NA,1.793101,2016
99,Other Commodities,Na,3291,Nigeria,NA,3.392093,2016
99,Other Commodities,Na,3339,Reunion,NA,0.632514,2016
99,Other Commodities,Na,3355,Seychelles,NA,0.002886,2016
99,Other Commodities,Na,3357,Sierra Leone,NA,1.377874,2016
99,Other Commodities,Na,3363,Somalia,NA,0.992959,2016
99,Other Commodities,Na,3385,Swaziland,NA,0.150886,2016
99,Other Commodities,Na,3461,Zambia,NA,5.68407,2016
99,Other Commodities,Na,4005,Algeria,NA,0.000145,2016
99,Other Commodities,Na,4111,Egypt A Rp,NA,5.333657,2016
99,Other Commodities,Na,4265,Morocco,NA,0.47496,2016
99,Other Commodities,Na,4365,South Africa,NA,23.48942,2016
99,Other Commodities,Na,4381,Sudan,NA,44.778528,2016
99,Other Commodities,Na,4407,Tunisia,NA,1.877769,2016
99,Other Commodities,Na,4463,Zimbabwe,NA,0.386106,2016
99,Other Commodities,Na,5059,Canada,NA,27.01401,2016
99,Other Commodities,Na,5423,U S A,NA,385.7941,2016
99,Other Commodities,Na,5424,Us Minor Outlying Islands,NA,0.014352,2016
99,Other Commodities,Na,6015,Argentina,NA,8.339048,2016
99,Other Commodities,Na,6039,Bolivia,NA,0.000024,2016
99,Other Commodities,Na,6043,Brazil,NA,56.06988,2016
99,Other Commodities,Na,6073,Chile,NA,0.898265,2016
99,Other Commodities,Na,6083,Colombia,NA,0.079256,2016
99,Other Commodities,Na,6109,Ecuador,NA,0.110795,2016
99,Other Commodities,Na,6317,Paraguay,NA,0.327876,2016
99,Other Commodities,Na,6319,Peru,NA,0.696664,2016
99,Other Commodities,Na,6427,Uruguay,NA,0.353691,2016
99,Other Commodities,Na,6433,Venezuela,NA,0.027804,2016
99,Other Commodities,Na,7020,Aruba,NA,0.262811,2016
99,Other Commodities,Na,7029,Barbados,NA,0.000002,2016
99,Other Commodities,Na,7031,Belize,NA,0.148504,2016
99,Other Commodities,Na,7159,Grenada,NA,0.06405,2016
99,Other Commodities,Na,7203,Jamaica,NA,0.060048,2016
99,Other Commodities,Na,7405,Trinidad,NA,0.000195,2016
99,Other Commodities,Na,8091,Costa Rica,NA,0.203595,2016
99,Other Commodities,Na,8113,El Salvador,NA,0.15731,2016
99,Other Commodities,Na,8165,Guatemala,NA,0.000207,2016
99,Other Commodities,Na,8177,Honduras,NA,0.073508,2016
99,Other Commodities,Na,8287,Nicaragua,NA,0.49933,2016
99,Other Commodities,Na,9007,Ameri Samoa,NA,0.061273,2016
99,Other Commodities,Na,9093,Cuba,NA,0.000912,2016
99,Other Commodities,Na,9103,Dominic Rep,NA,0.044189,2016
99,Other Commodities,Na,9175,Haiti,NA,0.196832,2016
99,Other Commodities,Na,9259,Mexico,NA,3.735682,2016
99,Other Commodities,Na,9277,Netherlandantil,NA,0.111247,2016
99,Other Commodities,Na,9311,Panama Republic,NA,0.025171,2016
99,Other Commodities,Na,9331,Puerto Rico,NA,0.054956,2016
99,Other Commodities,Na,9383,Suriname,NA,0.159778,2016
99,Other Commodities,Na,9439,Virgin Is Us,NA,0.000664,2016
99,Other Commodities,Na,10001,Afghanistan,NA,6.374757,2016
99,Other Commodities,Na,10017,Australia,NA,17.661801,2016
99,Other Commodities,Na,10027,Bangladesh Pr,NA,20.733043,2016
99,Other Commodities,Na,10038,Bhutan,NA,4.782305,2016
99,Other Commodities,Na,10047,Brunei,NA,0.00004,2016
99,Other Commodities,Na,10056,Cambodia,NA,0.076121,2016
99,Other Commodities,Na,10077,China P Rp,NA,847.629071,2016
99,Other Commodities,Na,10127,Fiji Is,NA,0.003116,2016
99,Other Commodities,Na,10176,Heard Macdonald,NA,0.000288,2016
99,Other Commodities,Na,10179,Hong Kong,NA,137.428128,2016
