pc_code,pc_description,unit,country_code,country_name,quantity,value,Year
99,Other Commodities,Na,599,Unspecified,NA,270.889542,2016
99,Other Commodities,Na,1213,Kenya,NA,17.159452,2016
99,Other Commodities,Na,1395,Tanzania Rep,NA,8.896539,2016
99,Other Commodities,Na,1417,Uganda,NA,5.181412,2016
99,Other Commodities,Na,2035,Benin,NA,2.476015,2016
99,Other Commodities,Na,2050,Burkina Faso,NA,0.452,2016
99,Other Commodities,Na,2057,Cameroon,NA,0.448168,2016
99,Other Commodities,Na,2067,C Afri Rep,NA,0.001924,2016
99,Other Commodities,Na,2069,Chad,NA,0.004635,2016
99,Other Commodities,Na,2087,Congo P Rep,NA,1.747451,2016
99,Other Commodities,Na,2141,Gabon,NA,0.385672,2016
99,Other Commodities,Na,2199,Cote D' Ivoire,NA,1.864063,2016
99,Other Commodities,Na,2241,Madagascar,NA,0.68048,2016
99,Other Commodities,Na,2255,Mauritania,NA,1.082959,2016
99,Other Commodities,Na,2257,Mauritius,NA,3.189677,2016
99,Other Commodities,Na,2289,Niger,NA,0.202926,2016
99,Other Commodities,Na,2345,Rwanda,NA,0.662748,2016
99,Other Commodities,Na,2353,Senegal,NA,3.675454,2016
99,Other Commodities,Na,2399,Togo,NA,1.905975,2016
99,Other Commodities,Na,2459,Congo D. Rep.,NA,1.177996,2016
99,Other Commodities,Na,3011,Angola,NA,0.642994,2016
99,Other Commodities,Na,3041,Botswana,NA,0.241659,2016
99,Other Commodities,Na,3053,Burundi,NA,0.054557,2016
99,Other Commodities,Na,3063,Cape Verde Is,NA,0.129066,2016
99,Other Commodities,Na,3085,Comoros,NA,0.092474,2016
99,Other Commodities,Na,3102,Djibouti,NA,0.495789,2016
99,Other Commodities,Na,3115,Ethiopia,NA,3.845262,2016
99,Other Commodities,Na,3116,Eritrea,NA,0.088391,2016
99,Other Commodities,Na,3117,Equtl Guinea,NA,0.07923,2016
99,Other Commodities,Na,3143,Gambia,NA,0.121039,2016
99,Other Commodities,Na,3149,Ghana,NA,4.604121,2016
99,Other Commodities,Na,3167,Guinea,NA,1.737687,2016
99,Other Commodities,Na,3169,Guinea Bissau,NA,0.116671,2016
99,Other Commodities,Na,3227,Lesotho,NA,0.000928,2016
99,Other Commodities,Na,3229,Liberia,NA,0.512861,2016
99,Other Commodities,Na,3243,Malawi,NA,2.306195,2016
99,Other Commodities,Na,3249,Mali,NA,1.003219,2016
99,Other Commodities,Na,3267,Mozambique,NA,1.089194,2016
99,Other Commodities,Na,3269,Namibia,NA,1.003473,2016
99,Other Commodities,Na,3291,Nigeria,NA,17.684824,2016
99,Other Commodities,Na,3339,Reunion,NA,0.103463,2016
99,Other Commodities,Na,3349,Sao Tome,NA,0.020617,2016
99,Other Commodities,Na,3355,Seychelles,NA,0.308286,2016
99,Other Commodities,Na,3357,Sierra Leone,NA,0.130711,2016
99,Other Commodities,Na,3363,Somalia,NA,0.184343,2016
99,Other Commodities,Na,3385,Swaziland,NA,1.288622,2016
99,Other Commodities,Na,3461,Zambia,NA,2.616591,2016
99,Other Commodities,Na,4005,Algeria,NA,4.215784,2016
99,Other Commodities,Na,4111,Egypt A Rp,NA,11.7448,2016
99,Other Commodities,Na,4231,Libya,NA,0.674032,2016
99,Other Commodities,Na,4265,Morocco,NA,2.772827,2016
99,Other Commodities,Na,4365,South Africa,NA,14.027932,2016
99,Other Commodities,Na,4381,Sudan,NA,5.556733,2016
99,Other Commodities,Na,4382,South Sudan,NA,0.026636,2016
99,Other Commodities,Na,4407,Tunisia,NA,1.252616,2016
99,Other Commodities,Na,4463,Zimbabwe,NA,1.219118,2016
99,Other Commodities,Na,5059,Canada,NA,28.027168,2016
99,Other Commodities,Na,5423,U S A,NA,443.321409,2016
